Client,Style,Fabric usage,pcs/carton,volume,weight,material
RITEMATE,RM500BTS,,28,0.041125,,"100% Cotton Twill 130x70 / 30sx30s 150 - 155gsm, Silicon Wash"
Allens,ALL-157V2,,20,0.042,11,100% COTTON TWILL 20X20 108X56 190gsm
Allens,ALL-157V2R,,20,0.042,11,100% COTTON TWILL 20X20 108X56 190gsm
Allens,ALL-258V2R,,20,0.042,11,100% COTTON TWILL 20X20 108X56 190gsm
Allens,AIYCC10,,1000,0.042,11,other
Iggudens,IGG001X,,20,0.041125,12,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
Iggudens,IGG002,,20,0.041125,12,100% COTTON TWILL 20X20 108X56 190gsm
Iggudens,IGG004XJ,,8,0.06,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
John Ellignsen,JEASH-01,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEASH-02,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEGAP-03,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEGAP-04,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEGAP-05,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEPINE-02,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEATOOW-01,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEATOOW-02,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEATOOW-ART,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEAWAV-01,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEA-BLW,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEA-MLW,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEA-BSW,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEA-MSW,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JESLC-01,,30,0.08208,10,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
John Ellignsen,JEPWB-02,,40,0.042,12,"65% Polyester 35% Cotton Pipolin 135x80x45x45, 125gsm"
Atlas,07288,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
Atlas,07299,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
Atlas,07399,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
Atlas,07399X,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
Atlas,07388X,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
Atlas,07388,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
Atlas,07499,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
Atlas,AW1002,,20,0.0528,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
Atlas,AW1002R,,20,0.0528,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
Atlas,AW1004,,20,0.0528,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
Atlas,AW1004R,,20,0.0528,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
