Client,Style,Fabric usage,pcs/carton,volume,weight,material
QPS,QPSSO,1.2,20,0.04256,10.1,"3XDRY 60.5% Cotton / 37% Polyester / 2.5% Lycra Dyed Twill, 116x69 21TCX16+70D, 260gsm, useable width 144cm (60/61")"
QPS,QPSDTM,1.6,20,0.05415,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,QPSDSF,1.6,20,0.05415,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,QPSPL (S/S),,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL (L/S),,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-FUL-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-FUL-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-WHO-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-WHO-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PLO-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PLO-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-TIPSO-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-NDW-SS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PD-SS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PD-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-HI-SS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PS-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSPL-PS-LS,,25,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,SERPCC PL-SS,,30,0.06,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,SERPCC PL-LS,,30,0.06,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QPS,QPSFS,,20,0.041125,10,"65% Polyester / 33% Cotton / 2% Elastane, 32x32+40D 130x70, 150gsm Dyed in VAT with Teflon Hydrophillic"
QPS,QPS-TIE-EXE-L,,100,0.04805,6,100% polyester 
QPS,QPS-TIE-EXE-R,,100,0.04805,6,100% polyester 
QPS,QPS-TIE-EXE-S,,100,0.04805,6,100% polyester 
QPS,QPS-TIE-P-MR,,100,0.04805,6,100% polyester 
QPS,QPS-TIE-P-ML,,100,0.04805,6,100% polyester 
QPS,QPS-TIE-P-F,,100,0.04805,6,100% polyester 
QPS,QPSPF,,10,0.06,13,"100% Polyester 395gsm polar fleece laminated with water repellent finishing, T/C Woven fabric patch"
QPS,QPSTM,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,QPSMJM,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,QPSMJF,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,QPS cap,,100,0.07623,12,"3XDRY 60.5% Cotton / 37% Polyester / 2.5% Lycra Dyed Twill, 116x69 21TCX16+70D, 260gsm, useable width 144cm (60/61")"
